학교ID,학교명,학교급구분,설립일자_x,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드_x,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,제공기관코드,제공기관명,시도교육청코드_y,행정표준코드,영문학교명,학교종류명,시도명,관할조직명,설립명,도로명우편번호,도로명주소,도로명상세주소,전화번호,홈페이지주소,남녀공학구분명,팩스번호,고등학교구분명,산업체특별학급존재여부,고등학교일반전문구분명,특수목적고등학교계열명,입시전후기구분명,주야구분명,설립일자_y,개교기념일,수정일자,급식메뉴
B000006395,목포애향초등학교,초등학교,2007-03-01,공립,본교,운영,전라남도 목포시 옥암동 1172,전라남도 목포시 당가두로38번길 23,8490000,전라남도교육청,8501000,전라남도목포교육지원청,2013-11-29,2023-11-15,34.808847,126.4415076,2024-03-22,C738100,청주대학교 지방교육재정연구원,Q10,8501049,Mokpoaehyang elementary school,초등학교,전라남도,전라남도목포교육지원청,공립,58674.0,전라남도 목포시 당가두로38번길 23,/ 목포애향초등학교 (옥암동),061-801-7001,http://mpah.es.jne.kr/,남여공학,061-801-7005,  ,N,해당없음,,전기,주간,20070301,20070301,20230615,타지역메뉴정보없음
B000012315,광주대동고등학교,고등학교,1972-12-26,사립,본교,운영,광주광역시 서구 매월동 산68-4,광주광역시 서구 전평길 50,7380000,광주광역시교육청,7401000,광주광역시서부교육지원청,2013-11-29,2023-11-15,35.11937249,126.8497281,2024-03-22,C738100,청주대학교 지방교육재정연구원,F10,7380049,Gwangju DaeDong High School,고등학교,광주광역시,광주광역시교육청,사립,62070.0,광주광역시 서구 전평길 50,/ (매월동/ 광주대동고등학교) ,062-600-3625,http://k-dd.gen.hs.kr,남,062-385-3638,일반고,N,일반계,,전기,주간,19721226,19730506,20230615,타지역메뉴정보없음
B000011845,울산마이스터고등학교,고등학교,1996-03-01,공립,본교,운영,울산광역시 북구 효문동 34-1,울산광역시 북구 율동6길 7,7480000,울산광역시교육청,7491000,울산광역시강북교육지원청,2013-11-29,2023-11-15,35.56075734,129.378178,2024-03-22,C738100,청주대학교 지방교육재정연구원,H10,7480143,Ulsan Meister High School,고등학교,울산광역시,울산광역시교육청,공립,44246.0,울산광역시 북구 율동6길 7,(효문동/울산마이스터고등학교),052-702-2002,http://www.ulsanmeister.hs.kr,남,052-288-1714,특목고,N,전문계,산업수요 맞춤형 고등학교,전기,주간,19960223,19960309,20230615,영양잡곡밥 (5)<br/>돼지짜글이찌개 (5.6.9.10)<br/>미트볼비엔나조림 (1.2.5.6.10.12.13.15.16)<br/>숙주나물무침 (5.6)<br/>수제참치두부김치전 (1.5.6.9.16.18)<br/>배추김치 (9)
B000012764,원주고등학교,고등학교,1953-10-15,공립,본교,운영,강원특별자치도 원주시 개운동 127-1 번지,강원특별자치도 원주시 치악로 1765,7801000,강원특별자치도교육청,7822000,강원특별자치도원주교육지원청,2013-11-29,2023-11-15,37.34007833,127.955818,2024-03-22,C738100,청주대학교 지방교육재정연구원,K10,7801164,Wonju High School,고등학교,강원특별자치도,강원특별자치도교육청,공립,26442.0,강원도 원주시 치악로 1765,"(개운동, 원주고등학교)",033-740-9000,http://wonjugo.gwe.hs.kr,남,033-740-9029,일반고,N,일반계,,전기,주간,19531015,19531015,20230913,타지역메뉴정보없음
B000008934,치평중학교,중학교,1991-03-06,공립,본교,운영,광주광역시 서구 쌍촌동 472,광주광역시 서구 화정로21번길 5,7380000,광주광역시교육청,7401000,광주광역시서부교육지원청,2013-11-29,2023-11-15,35.14468809,126.8591015,2024-03-22,C738100,청주대학교 지방교육재정연구원,F10,7401219,Chipyong Middle School,중학교,광주광역시,광주광역시서부교육지원청,공립,61991.0,광주광역시 서구 화정로21번길 5,/ 치평중학교 (쌍촌동),062-380-2354,http://chipyong.gen.ms.kr/,남여공학,062-380-2355,  ,N,일반계,,전기,주간,19901114,19910306,20230615,타지역메뉴정보없음
B000007813,부곡초등학교,초등학교,1924-09-08,공립,본교,운영,경상남도 창녕군 부곡면 부곡리 348,경상남도 창녕군 부곡면 원동길 16,9010000,경상남도교육청,9141000,경상남도창녕교육지원청,2013-11-29,2023-11-15,35.43679975,128.6015618,2024-03-22,C738100,청주대학교 지방교육재정연구원,S10,9141016,Bugok Elementary School,초등학교,경상남도,창녕교육지원청,공립,50365.0,경상남도 창녕군 부곡면 원동길 16,/ 부곡초등학교 (부곡면),055-536-5507,bugok-p.gne.go.kr,남여공학,055-521-2691,  ,N,해당없음,,전기,주간,19240908,19240908,20230615,타지역메뉴정보없음
B000023887,장기중학교,중학교,1970-03-06,공립,본교,운영,세종특별자치시 장군면 하봉리 37-1,세종특별자치시 장군면 장척로 359,9300000,세종특별자치시교육청,9300000,세종특별자치시교육청,2013-11-29,2023-11-15,36.4938836,127.2017261,2024-03-22,C738100,청주대학교 지방교육재정연구원,I10,9300051,Jang-gi Middle School,중학교,세종특별자치시,세종특별자치시교육청,공립,30053.0,세종특별자치시  장군면 장척로 359,(장군면),044-998-3147,http://janggi.sjedums.kr/,남여공학,044-998-3148,  ,N,해당없음,,전기,주간,19691014,19691014,20230615,타지역메뉴정보없음
B000006216,벽량초등학교,초등학교,1936-06-29,공립,본교,운영,전북특별자치도 김제시 부량면 대평리 66,전북특별자치도 김제시 부량면 대평2길 99,8321000,전북특별자치도교육청,8382000,전북특별자치도김제교육지원청,2013-11-29,2023-11-15,35.73014148,126.8481832,2024-03-22,C738100,청주대학교 지방교육재정연구원,P10,8382069,Byeok-ryang Elementary School,초등학교,전북특별자치도,전북특별자치도김제교육지원청,공립,54425.0,전북특별자치도 김제시 부량면 대평2길 99,벽량초등학교,063-546-9014,http://www.gimje-br.es.kr/,남여공학,063-547-4359,  ,N,해당없음,,전기,주간,19360629,19360629,20230615,타지역메뉴정보없음
B000012647,경기창조고등학교,고등학교,2010-03-01,공립,본교,운영,경기도 안성시 공도읍 만정리 789,경기도 안성시 공도읍 공도5로 37,7530000,경기도교육청,7761000,경기도안성교육지원청,2013-11-29,2023-11-15,37.00193973,127.1723586,2024-03-22,C738100,청주대학교 지방교육재정연구원,J10,7530937,Gyeonggi Chang Jo High School,고등학교,경기도,경기도교육청,공립,17560.0,경기도 안성시 공도읍 공도5로 37,/ 경기창조고등학교 (공도읍),031-646-2200,https://ggcj-h.goean.kr,남여공학,031-692-5706,일반고,N,일반계,,전기,주간,20100301,20100506,20240310,타지역메뉴정보없음
B000011562,팔렬고등학교,고등학교,2006-03-01,사립,본교,운영,강원특별자치도 홍천군 내촌면 물걸리 252번지,강원특별자치도 홍천군 내촌면 동창로 207,7801000,강원특별자치도교육청,7882000,강원특별자치도홍천교육지원청,2013-11-29,2023-11-15,37.78372576,128.151705,2024-03-22,C738100,청주대학교 지방교육재정연구원,K10,7801193,Pallyeol High School,고등학교,강원특별자치도,강원특별자치도교육청,사립,25162.0,강원도 홍천군 내촌면 동창로 207,", 팔렬고등학교 (내촌면)",033-435-6327,pallyeol.gwe.hs.kr,남여공학,033-435-6325,특성화고,N,전문계,,전기,주간,20051129,20060301,20230913,타지역메뉴정보없음
B000008658,대구동부중학교,중학교,1980-03-01,공립,본교,운영,대구광역시 수성구 만촌동 645-1,대구광역시 수성구 화랑로32길 74,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2013-11-29,2023-11-15,35.872516,128.6442074,2024-03-22,C738100,청주대학교 지방교육재정연구원,D10,7251020,DaeguDongbu Middle School,중학교,대구광역시,대구광역시동부교육지원청,공립,42034.0,대구광역시 수성구 화랑로32길 74,(만촌동/ 동부중학교),053-232-7045,https://dgdongbu.dge.ms.kr/,남여공학,053-741-0660,,N,일반계,,전기,주간,19800301,19800301,20230702,타지역메뉴정보없음
B000003301,광주송원초등학교,초등학교,1965-02-24,사립,본교,운영,광주광역시 남구 송하동 365-34,광주광역시 남구 송암로 73,7380000,광주광역시교육청,7401000,광주광역시서부교육지원청,2013-11-29,2023-11-15,35.10818451,126.8732664,2024-03-22,C738100,청주대학교 지방교육재정연구원,F10,7401210,Gwangju Songwon Elementary School,초등학교,광주광역시,광주광역시서부교육지원청,사립,61756.0,광주광역시 남구 송암로 73,/ (송하동/ 송원초등학교) (송하동),062-360-5591,http://k-songwon.gen.es.kr,남여공학,062-360-5595,  ,N,일반계,,전기,주간,19650224,19650323,20230615,타지역메뉴정보없음
B000023266,경기관광고등학교,고등학교,1975-03-01,사립,본교,운영,경기도 여주시 대신면 율촌리 265-3,경기도 여주시 대신면 여양로 1416,7530000,경기도교육청,7661000,경기도여주교육지원청,2013-11-29,2023-11-15,37.37542536,127.5893974,2024-03-22,C738100,청주대학교 지방교육재정연구원,J10,7531056,Gyeonggi Tourism High School,고등학교,경기도,경기도교육청,사립,12610.0,경기도 여주시 대신면 여양로 1416,/ 경기관광고등학교 (대신면),031-882-9196,gtour-h.goeyj.kr,남여공학,031-884-6545,특성화고,N,전문계,,전기,주간,19750301,19750301,20230615,타지역메뉴정보없음
B000023736,섬강중학교,중학교,2020-03-01,공립,본교,운영,강원특별자치도 원주시 지정면 가곡리 가곡리 461-2,강원특별자치도 원주시 지정면 가곡로 40,7801000,강원특별자치도교육청,7822000,강원특별자치도원주교육지원청,2013-11-29,2023-11-15,37.37687867,127.8807396,2024-03-22,C738100,청주대학교 지방교육재정연구원,K10,7822137,SEOMGANG Middle School,중학교,강원특별자치도,강원특별자치도원주교육지원청,공립,26352.0,강원도 원주시 지정면 가곡로 40,(섬강중학교),033-904-2000,http://seomgang.gwe.ms.kr,남여공학,033-904-2325,,N,일반계,,전기,주간,20200301,20200302,20230913,타지역메뉴정보없음
B000002316,서울대림초등학교,초등학교,1974-03-01,공립,본교,운영,서울특별시 동작구 대방동 391-62,서울특별시 동작구 대방동1길 22,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2023-11-15,37.5006148,126.9248833,2024-03-22,C738100,청주대학교 지방교육재정연구원,B10,7132091,Seoul Daerim Elementary School,초등학교,서울특별시,서울특별시동작관악교육지원청,공립,6954.0,서울특별시 동작구 대방동1길 22,(대방동),02-822-1984,http://www.seouldaelim.es.kr,남여공학,02-822-1987,,N,일반계,,전기,주간,19730801,19740402,20230615,타지역메뉴정보없음
B000026927,나주금천중학교,중학교,1951-08-31,공립,본교,운영,전라남도 나주시 빛가람동 315,전라남도 나주시 호수로 133,8490000,전라남도교육청,8531000,전라남도나주교육지원청,2013-11-29,2023-11-15,35.01469441,126.7975631,2024-03-22,C738100,청주대학교 지방교육재정연구원,Q10,8531006,Naju-geumcheon Middle School,중학교,전라남도,전라남도나주교육지원청,공립,58324.0,전라남도 나주시 호수로 133,(빛가람동),061-339-9350,http://njgeumcheon.ms.jne.kr,남여공학,061-331-7664,  ,N,일반계,,전기,주간,19510831,19510831,20230615,타지역메뉴정보없음
B000005526,천안신용초등학교,초등학교,1997-03-01,공립,본교,운영,충청남도 천안시 동남구 신방동 40,충청남도 천안시 동남구 새말1길 29,8140000,충청남도교육청,8151000,충청남도천안교육지원청,2013-11-29,2023-11-15,36.7907329,127.1317187,2024-03-22,C738100,청주대학교 지방교육재정연구원,N10,8151059,Cheonansinyong Elementary School,초등학교,충청남도,충청남도천안교육지원청,공립,31184.0,충청남도 천안시 동남구 새말1길 29,(신방동),041-573-6106,http://sinyong.caees.kr,남여공학,041-573-6109,  ,N,해당없음,,전기,주간,19950626,19950626,20230615,타지역메뉴정보없음
B000006067,개정초등학교,초등학교,1924-09-01,공립,본교,운영,전북특별자치도 군산시 개정면 아동리 779-1,전북특별자치도 군산시 개정면 동정1길 5,8321000,전북특별자치도교육청,8342000,전북특별자치도군산교육지원청,2013-11-29,2023-11-15,35.96317048,126.7690744,2024-03-22,C738100,청주대학교 지방교육재정연구원,P10,8342105,Gaejeong Elementary School,초등학교,전북특별자치도,전북특별자치도군산교육지원청,공립,54064.0,전북특별자치도 군산시 개정면 동정1길 5,개정초등학교,063-452-6364,https://school.jbedu.kr/gaejeong,남여공학,063-452-6368,  ,N,해당없음,,전기,주간,19240307,19240307,20230615,타지역메뉴정보없음
B000011691,영광공업고등학교,고등학교,1961-05-27,공립,본교,운영,전라남도 영광군 영광읍 단주리 560-1,전라남도 영광군 영광읍 월현로 34,8490000,전라남도교육청,8681000,전라남도영광교육지원청,2013-11-29,2023-11-15,35.27888642,126.5020801,2024-03-22,C738100,청주대학교 지방교육재정연구원,Q10,8490428,Yeongkwang Technical high school,고등학교,전라남도,전라남도교육청,공립,57036.0,전라남도 영광군 영광읍 월현로 34,/ 영광공업고등학교 (영광읍),061-872-0000,http://yeongkwang.hs.jne.kr,남여공학,061-872-0020,특성화고,N,전문계,,전기,주간,19510811,19510811,20230716,타지역메뉴정보없음
B000005489,감곡초등학교,초등학교,1923-06-12,공립,본교,운영,충청북도 음성군 감곡면 오향리 504-1,충청북도 음성군 감곡면 장감로 207,8000000,충청북도교육청,8101000,충청북도음성교육지원청,2013-11-29,2023-11-15,37.1163163,127.6453912,2024-03-22,C738100,청주대학교 지방교육재정연구원,M10,8101015,gamgok elementary school,초등학교,충청북도,충청북도음성교육지원청,공립,27610.0,충청북도 음성군 감곡면 장감로 207,/ 감곡초등학교 (감곡면),043-881-2023,http://school.cbe.go.kr/gamgok-e/,남여공학,043-881-0806,  ,N,일반계,,전기,주간,19230612,19230612,20230615,타지역메뉴정보없음
B000006418,여수봉산초등학교,초등학교,1976-03-02,공립,본교,운영,전라남도 여수시 봉산동 12,전라남도 여수시 봉산새철4길 28,8490000,전라남도교육청,8511000,전라남도여수교육지원청,2013-11-29,2023-11-15,34.73549535,127.7272231,2024-03-22,C738100,청주대학교 지방교육재정연구원,Q10,8511042,YeosuBongsan Elementary School,초등학교,전라남도,전라남도여수교육지원청,공립,59754.0,전라남도 여수시 봉산새철4길 28,/ 여수봉산초등학교 (봉산동),061-643-9021,http://yeosubs.es.jne.kr,남여공학,061-643-9025,  ,N,일반계,,전기,주간,19790926,19790926,20230615,타지역메뉴정보없음
B000004431,오학초등학교,초등학교,1958-10-06,공립,본교,운영,경기도 여주시 오학동 105-1,경기도 여주시 도예로 117,7530000,경기도교육청,7661000,경기도여주교육지원청,2013-11-29,2023-11-15,37.31241232,127.6478987,2024-03-22,C738100,청주대학교 지방교육재정연구원,J10,7661033,Ohak Elementery School,초등학교,경기도,경기도여주교육지원청,공립,12636.0,경기도 여주시 도예로 117,(오학동/ 오학초등학교),031-880-2500,ohak-e.goeyj.kr,남여공학,031-885-1323,,N,일반계,,전기,주간,19590305,19590305,20230615,타지역메뉴정보없음
B000004869,단관초등학교,초등학교,2005-03-02,공립,본교,운영,강원특별자치도 원주시 관설동 1723 단관초등학교,강원특별자치도 원주시 단관초교길 14,7801000,강원특별자치도교육청,7822000,강원특별자치도원주교육지원청,2013-11-29,2023-11-15,37.31754759,127.9635503,2024-03-22,C738100,청주대학교 지방교육재정연구원,K10,7822088,Dangwan Elementary School,초등학교,강원특별자치도,강원특별자치도원주교육지원청,공립,26472.0,강원도 원주시 단관초교길 14,", 단관초등학교 (관설동)",033-765-1403,http://dan-gwan.gwe.es.kr,남여공학,033-765-1406,,N,해당없음,,전기,주간,20050301,20050302,20230913,타지역메뉴정보없음
B000008213,노원중학교,중학교,1989-03-06,공립,본교,운영,서울특별시 노원구 상계동 743,서울특별시 노원구 동일로213길 26,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2023-11-15,37.64936114,127.059692,2024-03-22,C738100,청주대학교 지방교육재정연구원,B10,7051177,Nowon Middle School,중학교,서울특별시,서울특별시북부교육지원청,공립,1764.0,서울특별시 노원구 동일로213길 26,(상계동/노원중학교),02-3391-6921,http://nowon.sen.ms.kr,남여공학,02-934-9953,,N,일반계,,전기,주간,19881224,19890504,20230615,타지역메뉴정보없음
B000013354,김해중앙여자고등학교,고등학교,1996-03-01,사립,본교,운영,경상남도 김해시 동상동 715-2,경상남도 김해시 분성로376번길 21-22,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2013-11-29,2023-11-15,35.23260078,128.8886173,2024-03-22,C738100,청주대학교 지방교육재정연구원,S10,9010087,Gimhae Jungang Girls` High School,고등학교,경상남도,경상남도교육청,사립,50922.0,경상남도 김해시 분성로376번길 21-22,(동상동/김해중앙여자고등학교),055-324-2724,http://ghja-h.gne.go.kr/,여,055-324-2726,일반고,N,일반계,,전기,주간,19951115,19951115,20230615,타지역메뉴정보없음
B000003777,석천초등학교,초등학교,2002-09-01,공립,본교,운영,경기도 부천시 원미구 상동 525-4,경기도 부천시 원미구 계남로 29,7530000,경기도교육청,7581000,경기도부천교육지원청,2013-11-29,2024-03-11,37.51051129,126.7522971,2024-03-22,C738100,청주대학교 지방교육재정연구원,J10,7679038,Seokcheon Elementary School,초등학교,경기도,경기도화성오산교육지원청,공립,18572.0,경기도 화성시 우정읍 석천길 52,/ 석천초등학교 (우정읍),031-358-0211,http://www.surkchun.es.kr,남여공학,031-358-5331,  ,N,일반계,,전기,주간,19480327,19480327,20230615,타지역메뉴정보없음
B000003777,석천초등학교,초등학교,2002-09-01,공립,본교,운영,경기도 부천시 원미구 상동 525-4,경기도 부천시 원미구 계남로 29,7530000,경기도교육청,7581000,경기도부천교육지원청,2013-11-29,2024-03-11,37.51051129,126.7522971,2024-03-22,C738100,청주대학교 지방교육재정연구원,J10,7581082,SUKCHUN ELEMENTARY SCHOOL,초등학교,경기도,경기도부천교육지원청,공립,14508.0,경기도 부천시 계남로 29,(상동/ 석천초등학교),070-7099-9670,https://seokcheon-m.goebc.kr,남여공학,032-328-7038,  ,N,해당없음,,전기,주간,20020902,20030301,20230615,타지역메뉴정보없음
B000010346,상관중학교,중학교,1969-10-04,공립,본교,운영,전북특별자치도 완주군 상관면 신리 603-5,전북특별자치도 완주군 상관면 신리로 111,8321000,전북특별자치도교육청,8392000,전북특별자치도완주교육지원청,2013-11-29,2023-11-15,35.77103752,127.2067382,2024-03-22,C738100,청주대학교 지방교육재정연구원,P10,8392079,Sang-gwan Middle School,중학교,전북특별자치도,전북특별자치도완주교육지원청,공립,55359.0,전북특별자치도 완주군 상관면 신리로 111,상관중학교,063-287-9892,http://www.sanggwan.ms.kr,남여공학,063-287-9891,  ,N,해당없음,,전기,주간,19691014,19700310,20230615,타지역메뉴정보없음
B000005990,전주서곡초등학교,초등학교,2000-03-01,공립,본교,운영,전북특별자치도 전주시 완산구 효자동3가 1474,전북특별자치도 전주시 완산구 서곡7길 30,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.83306061,127.1008952,2024-03-22,C738100,청주대학교 지방교육재정연구원,P10,8332166,Jeonju Seo-gok Elementary School,초등학교,전북특별자치도,전북특별자치도전주교육지원청,공립,54957.0,전북특별자치도 전주시 완산구 서곡7길 30,전주서곡초등학교,063-278-8121,http://sergok.es.kr,남여공학,063-278-8125,  ,N,해당없음,,전기,주간,20000301,20000301,20230615,타지역메뉴정보없음
B000022969,논산공업고등학교,고등학교,1936-04-22,공립,본교,운영,충청남도 논산시 부창동 56-14,충청남도 논산시 시민로 365,8140000,충청남도교육청,8222000,충청남도논산계룡교육지원청,2013-11-29,2023-11-15,36.19821471,127.0876105,2024-03-22,C738100,청주대학교 지방교육재정연구원,N10,8140116,Nonsan Technical High School,고등학교,충청남도,충청남도교육청,공립,32954.0,충청남도 논산시 시민로 365,(취암동/ 논산공업고등학교),041-736-1634,http://nstl.cnehs.kr,남여공학,041-736-1638,특성화고,N,전문계,,전기,주간,19360422,19360422,20230615,타지역메뉴정보없음
B000010425,목포항도여자중학교,중학교,1979-03-07,공립,본교,운영,전라남도 목포시 상동 327,전라남도 목포시 상동로21번길 111,8490000,전라남도교육청,8501000,전라남도목포교육지원청,2013-11-29,2023-11-15,34.81662603,126.4111056,2024-03-22,C738100,청주대학교 지방교육재정연구원,Q10,8501008,Mokpohangdo Girls Middle School,중학교,전라남도,전라남도목포교육지원청,공립,58641.0,전라남도 목포시 상동로21번길 111,(상동/목포항도여자중학교),061-279-1451,http://mokpohangdo.ms.jne.kr/,여,061-272-1420,  ,N,일반계,,전기,주간,19790131,19790131,20230615,타지역메뉴정보없음
B000008612,인지중학교,중학교,2003-03-01,공립,본교,운영,부산광역시 해운대구 반여동 1621,부산광역시 해운대구 반여로 142,7150000,부산광역시교육청,7211000,부산광역시해운대교육지원청,2013-11-29,2023-11-15,35.20405092,129.1255897,2024-03-22,C738100,청주대학교 지방교육재정연구원,C10,7211029,INJI MIDDLE SCHOOL,중학교,부산광역시,부산광역시해운대교육지원청,공립,48036.0,부산광역시 해운대구 반여로 142,(반여동/ 인지중학교),051-520-0700,www.inji.ms.kr,남여공학,051-520-0763,  ,N,일반계,,전기,주간,20020101,20030301,20230615,타지역메뉴정보없음
